vae.encoder.conv_in.weight,128,3,3,3
unet.down_blocks.2.attentions.1.transformer_blocks.2.attn1.to_v.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.attn1.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.attn1.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.norm2.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.norm2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.attn2.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.attn2.to_k.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.2.attn2.to_v.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.2.attn2.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.attn2.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.norm3.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.norm3.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.ff.net.0.proj.weight,10240,1280
unet.down_blocks.2.attentions.1.transformer_blocks.2.ff.net.0.proj.bias,10240
unet.down_blocks.2.attentions.1.transformer_blocks.2.ff.net.2.weight,1280,5120
unet.down_blocks.2.attentions.1.transformer_blocks.2.ff.net.2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.norm1.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.norm1.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn1.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn1.to_k.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn1.to_v.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn1.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn1.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.norm2.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.norm2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn2.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn2.to_k.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn2.to_v.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn2.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.attn2.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.norm3.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.norm3.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.ff.net.0.proj.weight,10240,1280
unet.down_blocks.2.attentions.1.transformer_blocks.3.ff.net.0.proj.bias,10240
unet.down_blocks.2.attentions.1.transformer_blocks.3.ff.net.2.weight,1280,5120
unet.down_blocks.2.attentions.1.transformer_blocks.3.ff.net.2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.norm1.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.norm1.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn1.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn1.to_k.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn1.to_v.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn1.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn1.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.norm2.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.norm2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn2.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn2.to_k.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn2.to_v.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn2.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.attn2.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.norm3.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.norm3.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.ff.net.0.proj.weight,10240,1280
unet.down_blocks.2.attentions.1.transformer_blocks.4.ff.net.0.proj.bias,10240
unet.down_blocks.2.attentions.1.transformer_blocks.4.ff.net.2.weight,1280,5120
unet.down_blocks.2.attentions.1.transformer_blocks.4.ff.net.2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.norm1.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.norm1.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn1.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn1.to_k.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn1.to_v.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn1.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn1.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.norm2.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.norm2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn2.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn2.to_k.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn2.to_v.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn2.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.attn2.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.norm3.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.norm3.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.ff.net.0.proj.weight,10240,1280
unet.down_blocks.2.attentions.1.transformer_blocks.5.ff.net.0.proj.bias,10240
unet.down_blocks.2.attentions.1.transformer_blocks.5.ff.net.2.weight,1280,5120
unet.down_blocks.2.attentions.1.transformer_blocks.5.ff.net.2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.norm1.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.norm1.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn1.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn1.to_k.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn1.to_v.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn1.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn1.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.norm2.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.norm2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn2.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn2.to_k.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn2.to_v.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn2.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.attn2.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.norm3.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.norm3.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.ff.net.0.proj.weight,10240,1280
unet.down_blocks.2.attentions.1.transformer_blocks.6.ff.net.0.proj.bias,10240
unet.down_blocks.2.attentions.1.transformer_blocks.6.ff.net.2.weight,1280,5120
unet.down_blocks.2.attentions.1.transformer_blocks.6.ff.net.2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.norm1.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.norm1.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn1.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn1.to_k.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn1.to_v.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn1.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn1.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.norm2.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.norm2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn2.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn2.to_k.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn2.to_v.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn2.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.attn2.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.norm3.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.norm3.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.ff.net.0.proj.weight,10240,1280
unet.down_blocks.2.attentions.1.transformer_blocks.7.ff.net.0.proj.bias,10240
unet.down_blocks.2.attentions.1.transformer_blocks.7.ff.net.2.weight,1280,5120
unet.down_blocks.2.attentions.1.transformer_blocks.7.ff.net.2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.norm1.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.norm1.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn1.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn1.to_k.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn1.to_v.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn1.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn1.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.norm2.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.norm2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn2.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn2.to_k.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn2.to_v.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn2.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.attn2.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.norm3.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.norm3.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.ff.net.0.proj.weight,10240,1280
unet.down_blocks.2.attentions.1.transformer_blocks.8.ff.net.0.proj.bias,10240
unet.down_blocks.2.attentions.1.transformer_blocks.8.ff.net.2.weight,1280,5120
unet.down_blocks.2.attentions.1.transformer_blocks.8.ff.net.2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.norm1.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.norm1.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn1.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn1.to_k.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn1.to_v.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn1.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn1.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.norm2.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.norm2.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn2.to_q.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn2.to_k.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn2.to_v.weight,1280,2048
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn2.to_out.0.weight,1280,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.attn2.to_out.0.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.norm3.weight,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.norm3.bias,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.ff.net.0.proj.weight,10240,1280
unet.down_blocks.2.attentions.1.transformer_blocks.9.ff.net.0.proj.bias,10240
unet.down_blocks.2.attentions.1.transformer_blocks.9.ff.net.2.weight,1280,5120
unet.down_blocks.2.attentions.1.transformer_blocks.9.ff.net.2.bias,1280
unet.down_blocks.2.attentions.1.proj_out.weight,1280,1280
unet.down_blocks.2.attentions.1.proj_out.bias,1280
unet.down_blocks.2.resnets.0.norm1.weight,640
unet.down_blocks.2.resnets.0.norm1.bias,640
unet.down_blocks.2.resnets.0.conv1.weight,1280,640,3,3
unet.down_blocks.2.resnets.0.conv1.bias,1280
unet.down_blocks.2.resnets.0.time_emb_proj.weight,1280,1280
unet.down_blocks.2.resnets.0.time_emb_proj.bias,1280
unet.down_blocks.2.resnets.0.norm2.weight,1280
unet.down_blocks.2.resnets.0.norm2.bias,1280
unet.down_blocks.2.resnets.0.conv2.weight,1280,1280,3,3
unet.down_blocks.2.resnets.0.conv2.bias,1280
unet.down_blocks.2.resnets.0.conv_shortcut.weight,1280,640,1,1
unet.down_blocks.2.resnets.0.conv_shortcut.bias,1280
unet.down_blocks.2.resnets.1.norm1.weight,1280
unet.down_blocks.2.resnets.1.norm1.bias,1280
unet.down_blocks.2.resnets.1.conv1.weight,1280,1280,3,3
unet.down_blocks.2.resnets.1.conv1.bias,1280
unet.down_blocks.2.resnets.1.time_emb_proj.weight,1280,1280
unet.down_blocks.2.resnets.1.time_emb_proj.bias,1280
unet.down_blocks.2.resnets.1.norm2.weight,1280
unet.down_blocks.2.resnets.1.norm2.bias,1280
unet.down_blocks.2.resnets.1.conv2.weight,1280,1280,3,3
unet.down_blocks.2.resnets.1.conv2.bias,1280
unet.up_blocks.0.attentions.0.norm.weight,1280
unet.up_blocks.0.attentions.0.norm.bias,1280
unet.up_blocks.0.attentions.0.proj_in.weight,1280,1280
unet.up_blocks.0.attentions.0.proj_in.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.norm1.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.norm1.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.norm2.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.norm2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.norm3.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.norm3.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.weight,10240,1280
unet.up_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.bias,10240
unet.up_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.weight,1280,5120
unet.up_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.norm1.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.norm1.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn1.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn1.to_k.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn1.to_v.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn1.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn1.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.norm2.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.norm2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn2.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn2.to_k.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn2.to_v.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn2.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.attn2.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.norm3.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.norm3.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.ff.net.0.proj.weight,10240,1280
unet.up_blocks.0.attentions.0.transformer_blocks.1.ff.net.0.proj.bias,10240
unet.up_blocks.0.attentions.0.transformer_blocks.1.ff.net.2.weight,1280,5120
unet.up_blocks.0.attentions.0.transformer_blocks.1.ff.net.2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.norm1.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.norm1.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn1.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn1.to_k.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn1.to_v.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn1.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn1.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.norm2.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.norm2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn2.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn2.to_k.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn2.to_v.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn2.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.attn2.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.norm3.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.norm3.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.ff.net.0.proj.weight,10240,1280
unet.up_blocks.0.attentions.0.transformer_blocks.2.ff.net.0.proj.bias,10240
unet.up_blocks.0.attentions.0.transformer_blocks.2.ff.net.2.weight,1280,5120
unet.up_blocks.0.attentions.0.transformer_blocks.2.ff.net.2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.norm1.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.norm1.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn1.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn1.to_k.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn1.to_v.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn1.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn1.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.norm2.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.norm2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn2.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn2.to_k.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn2.to_v.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn2.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.attn2.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.norm3.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.norm3.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.ff.net.0.proj.weight,10240,1280
unet.up_blocks.0.attentions.0.transformer_blocks.3.ff.net.0.proj.bias,10240
unet.up_blocks.0.attentions.0.transformer_blocks.3.ff.net.2.weight,1280,5120
unet.up_blocks.0.attentions.0.transformer_blocks.3.ff.net.2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.norm1.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.norm1.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn1.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn1.to_k.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn1.to_v.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn1.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn1.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.norm2.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.norm2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn2.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn2.to_k.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn2.to_v.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn2.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.attn2.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.norm3.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.norm3.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.ff.net.0.proj.weight,10240,1280
unet.up_blocks.0.attentions.0.transformer_blocks.4.ff.net.0.proj.bias,10240
unet.up_blocks.0.attentions.0.transformer_blocks.4.ff.net.2.weight,1280,5120
unet.up_blocks.0.attentions.0.transformer_blocks.4.ff.net.2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.norm1.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.norm1.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn1.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn1.to_k.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn1.to_v.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn1.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn1.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.norm2.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.norm2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn2.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn2.to_k.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn2.to_v.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn2.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.attn2.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.norm3.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.norm3.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.ff.net.0.proj.weight,10240,1280
unet.up_blocks.0.attentions.0.transformer_blocks.5.ff.net.0.proj.bias,10240
unet.up_blocks.0.attentions.0.transformer_blocks.5.ff.net.2.weight,1280,5120
unet.up_blocks.0.attentions.0.transformer_blocks.5.ff.net.2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.norm1.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.norm1.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn1.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn1.to_k.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn1.to_v.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn1.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn1.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.norm2.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.norm2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn2.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn2.to_k.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn2.to_v.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn2.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.attn2.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.norm3.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.norm3.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.ff.net.0.proj.weight,10240,1280
unet.up_blocks.0.attentions.0.transformer_blocks.6.ff.net.0.proj.bias,10240
unet.up_blocks.0.attentions.0.transformer_blocks.6.ff.net.2.weight,1280,5120
unet.up_blocks.0.attentions.0.transformer_blocks.6.ff.net.2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.norm1.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.norm1.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn1.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn1.to_k.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn1.to_v.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn1.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn1.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.norm2.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.norm2.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn2.to_q.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn2.to_k.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn2.to_v.weight,1280,2048
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn2.to_out.0.weight,1280,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.attn2.to_out.0.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.norm3.weight,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.norm3.bias,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.ff.net.0.proj.weight,10240,1280
unet.up_blocks.0.attentions.0.transformer_blocks.7.ff.net.0.proj.bias,10240
